Datetime,Temperature
2023-04-23 15:50:25,32.1
2023-04-23 15:55:25,32.1
2023-04-23 16:00:25,32.1
2023-04-23 16:05:25,31.6
2023-04-23 16:10:25,30.6
2023-04-23 16:15:25,33.1
2023-04-23 16:20:25,31.1
2023-04-23 16:25:25,31.1
2023-04-23 16:30:25,32.1
2023-04-23 16:35:25,32.1
2023-04-23 16:40:26,32.1
2023-04-23 16:45:26,32.6
2023-04-23 16:50:26,32.6
2023-04-23 16:55:26,32.1
2023-04-23 17:00:26,32.1
2023-04-23 17:05:26,33.1
2023-04-23 17:10:26,31.6
2023-04-23 17:15:26,31.6
2023-04-23 17:20:26,32.1
2023-04-23 17:25:26,32.6
2023-04-23 17:30:26,31.1
2023-04-23 17:35:26,31.6
2023-04-23 17:40:26,31.6
2023-04-23 17:45:26,31.6
2023-04-23 17:50:26,31.6
2023-04-23 17:55:26,32.1
2023-04-23 18:00:26,31.6
2023-04-23 18:05:26,31.6
2023-04-23 18:10:26,31.6
2023-04-23 18:15:26,30.1
2023-04-23 18:20:26,32.6
2023-04-23 18:25:26,31.6
2023-04-23 18:30:26,31.6
2023-04-23 18:35:26,31.1
2023-04-23 18:40:26,32.1
2023-04-23 18:45:26,32.6
2023-04-23 18:50:26,34.0
2023-04-23 18:55:26,33.1
2023-04-23 19:00:26,32.6
2023-04-23 19:05:26,32.6
2023-04-23 19:10:26,32.6
2023-04-23 19:15:26,33.1
2023-04-23 19:20:26,32.6
2023-04-23 19:25:26,33.1
2023-04-23 19:30:27,32.6
2023-04-23 19:35:27,33.1
2023-04-23 19:40:27,33.1
2023-04-23 19:45:27,32.6
2023-04-23 19:50:27,33.6
2023-04-23 19:55:27,32.6
2023-04-23 20:00:27,33.1
